# darshan log version: 3.41
# compression method: ZLIB
# exe: /mnt/IOLustre/io500/io500 Trace_Dataset/ior-easy/ior-easy_api_MPIIO_blockSize_1073741824_transferSize_1M_filePerProc_False_uniqueDir_True_.ini --timestamp 2024.01.10-22.44.02
# uid: 0
# jobid: 1134454
# start_time: 1704944643
# start_time_asci: Wed Jan 10 22:44:03 2024
# end_time: 1704944657
# end_time_asci: Wed Jan 10 22:44:17 2024
# nprocs: 1
# run time: 14.1591
# metadata: lib_ver = 3.4.2
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 359 bytes (compressed)
# record table: 201 bytes (compressed)
# POSIX module: 193 bytes (compressed), ver=4
# MPI-IO module: 0 bytes (compressed), ver=3
# LUSTRE module: 0 bytes (compressed), ver=1
# STDIO module: 0 bytes (compressed), ver=2
# DXT_POSIX module: 18841 bytes (compressed), ver=1
# HEATMAP module: 0 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/mnt/IOLustre	lustre
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/boot/efi	vfat
# mount entry:	/client	ext4
# mount entry:	/home	ext4
# mount entry:	/boot	ext4
# mount entry:	/dev	devtmpfs
# mount entry:	/var	ext4
# mount entry:	/	ext4

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 1622462779593719803, file_name: /mnt/IOLustre/io500/datafiles/2024.01.10-22.44.02/ior-easy/ior_file_easy
# DXT, rank: 0, hostname: lab3
# DXT, write_count: 1024, read_count: 1024, open_count: 0, stat_count: 0
# DXT, mnt_pt: /mnt/IOLustre, fs_type: lustre
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0         1048576      0.2651      0.2667
 X_POSIX       0  write        1         1048576         1048576      0.2667      0.2683
 X_POSIX       0  write        2         2097152         1048576      0.2683      0.2698
 X_POSIX       0  write        3         3145728         1048576      0.2698      0.2713
 X_POSIX       0  write        4         4194304         1048576      0.2713      0.2730
 X_POSIX       0  write        5         5242880         1048576      0.2730      0.2747
 X_POSIX       0  write        6         6291456         1048576      0.2747      0.2766
 X_POSIX       0  write        7         7340032         1048576      0.2766      0.2785
 X_POSIX       0  write        8         8388608         1048576      0.2785      0.2803
 X_POSIX       0  write        9         9437184         1048576      0.2803      0.2815
 X_POSIX       0  write       10        10485760         1048576      0.2815      0.2828
 X_POSIX       0  write       11        11534336         1048576      0.2828      0.2841
 X_POSIX       0  write       12        12582912         1048576      0.2841      0.2856
 X_POSIX       0  write       13        13631488         1048576      0.2856      0.2870
 X_POSIX       0  write       14        14680064         1048576      0.2870      0.2883
 X_POSIX       0  write       15        15728640         1048576      0.2883      0.2896
 X_POSIX       0  write       16        16777216         1048576      0.2896      0.2907
 X_POSIX       0  write       17        17825792         1048576      0.2907      0.2917
 X_POSIX       0  write       18        18874368         1048576      0.2917      0.2926
 X_POSIX       0  write       19        19922944         1048576      0.2926      0.2935
 X_POSIX       0  write       20        20971520         1048576      0.2935      0.2947
 X_POSIX       0  write       21        22020096         1048576      0.2947      0.2956
 X_POSIX       0  write       22        23068672         1048576      0.2956      0.2965
 X_POSIX       0  write       23        24117248         1048576      0.2965      0.2975
 X_POSIX       0  write       24        25165824         1048576      0.2975      0.2986
 X_POSIX       0  write       25        26214400         1048576      0.2986      0.2996
 X_POSIX       0  write       26        27262976         1048576      0.2996      0.3005
 X_POSIX       0  write       27        28311552         1048576      0.3005      0.3014
 X_POSIX       0  write       28        29360128         1048576      0.3014      0.3025
 X_POSIX       0  write       29        30408704         1048576      0.3025      0.3034
 X_POSIX       0  write       30        31457280         1048576      0.3034      0.3042
 X_POSIX       0  write       31        32505856         1048576      0.3043      0.3051
 X_POSIX       0  write       32        33554432         1048576      0.3051      0.3062
 X_POSIX       0  write       33        34603008         1048576      0.3062      0.3071
 X_POSIX       0  write       34        35651584         1048576      0.3071      0.3080
 X_POSIX       0  write       35        36700160         1048576      0.3080      0.3088
 X_POSIX       0  write       36        37748736         1048576      0.3088      0.3099
 X_POSIX       0  write       37        38797312         1048576      0.3099      0.3110
 X_POSIX       0  write       38        39845888         1048576      0.3110      0.3119
 X_POSIX       0  write       39        40894464         1048576      0.3119      0.3128
 X_POSIX       0  write       40        41943040         1048576      0.3128      0.3136
 X_POSIX       0  write       41        42991616         1048576      0.3136      0.3145
 X_POSIX       0  write       42        44040192         1048576      0.3145      0.3153
 X_POSIX       0  write       43        45088768         1048576      0.3153      0.3162
 X_POSIX       0  write       44        46137344         1048576      0.3162      0.3171
 X_POSIX       0  write       45        47185920         1048576      0.3171      0.3179
 X_POSIX       0  write       46        48234496         1048576      0.3179      0.3188
 X_POSIX       0  write       47        49283072         1048576      0.3188      0.3196
 X_POSIX       0  write       48        50331648         1048576      0.3196      0.3205
 X_POSIX       0  write       49        51380224         1048576      0.3205      0.3213
 X_POSIX       0  write       50        52428800         1048576      0.3213      0.3221
 X_POSIX       0  write       51        53477376         1048576      0.3222      0.3230
 X_POSIX       0  write       52        54525952         1048576      0.3230      0.3238
 X_POSIX       0  write       53        55574528         1048576      0.3238      0.3246
 X_POSIX       0  write       54        56623104         1048576      0.3246      0.3255
 X_POSIX       0  write       55        57671680         1048576      0.3255      0.3263
 X_POSIX       0  write       56        58720256         1048576      0.3263      0.3271
 X_POSIX       0  write       57        59768832         1048576      0.3272      0.3280
 X_POSIX       0  write       58        60817408         1048576      0.3280      0.3288
 X_POSIX       0  write       59        61865984         1048576      0.3288      0.3297
 X_POSIX       0  write       60        62914560         1048576      0.3297      0.3305
 X_POSIX       0  write       61        63963136         1048576      0.3305      0.3313
 X_POSIX       0  write       62        65011712         1048576      0.3314      0.3321
 X_POSIX       0  write       63        66060288         1048576      0.3321      0.3330
 X_POSIX       0  write       64        67108864         1048576      0.3330      0.3338
 X_POSIX       0  write       65        68157440         1048576      0.3338      0.3346
 X_POSIX       0  write       66        69206016         1048576      0.3346      0.3354
 X_POSIX       0  write       67        70254592         1048576      0.3354      0.3362
 X_POSIX       0  write       68        71303168         1048576      0.3362      0.3370
 X_POSIX       0  write       69        72351744         1048576      0.3370      0.3378
 X_POSIX       0  write       70        73400320         1048576      0.3378      0.3386
 X_POSIX       0  write       71        74448896         1048576      0.3386      0.3394
 X_POSIX       0  write       72        75497472         1048576      0.3394      0.3458
 X_POSIX       0  write       73        76546048         1048576      0.3458      0.3546
 X_POSIX       0  write       74        77594624         1048576      0.3546      0.3690
 X_POSIX       0  write       75        78643200         1048576      0.3690      0.3705
 X_POSIX       0  write       76        79691776         1048576      0.3705      0.3872
 X_POSIX       0  write       77        80740352         1048576      0.3872      0.3892
 X_POSIX       0  write       78        81788928         1048576      0.3892      0.4020
 X_POSIX       0  write       79        82837504         1048576      0.4020      0.4124
 X_POSIX       0  write       80        83886080         1048576      0.4124      0.4145
 X_POSIX       0  write       81        84934656         1048576      0.4145      0.4270
 X_POSIX       0  write       82        85983232         1048576      0.4270      0.4360
 X_POSIX       0  write       83        87031808         1048576      0.4360      0.4460
 X_POSIX       0  write       84        88080384         1048576      0.4460      0.4570
 X_POSIX       0  write       85        89128960         1048576      0.4570      0.4690
 X_POSIX       0  write       86        90177536         1048576      0.4690      0.4780
 X_POSIX       0  write       87        91226112         1048576      0.4780      0.4880
 X_POSIX       0  write       88        92274688         1048576      0.4880      0.4990
 X_POSIX       0  write       89        93323264         1048576      0.4991      0.5110
 X_POSIX       0  write       90        94371840         1048576      0.5110      0.5240
 X_POSIX       0  write       91        95420416         1048576      0.5240      0.5370
 X_POSIX       0  write       92        96468992         1048576      0.5370      0.5508
 X_POSIX       0  write       93        97517568         1048576      0.5508      0.5628
 X_POSIX       0  write       94        98566144         1048576      0.5628      0.5758
 X_POSIX       0  write       95        99614720         1048576      0.5758      0.5888
 X_POSIX       0  write       96       100663296         1048576      0.5889      0.5998
 X_POSIX       0  write       97       101711872         1048576      0.5998      0.6118
 X_POSIX       0  write       98       102760448         1048576      0.6118      0.6248
 X_POSIX       0  write       99       103809024         1048576      0.6248      0.6378
 X_POSIX       0  write      100       104857600         1048576      0.6378      0.6518
 X_POSIX       0  write      101       105906176         1048576      0.6518      0.6658
 X_POSIX       0  write      102       106954752         1048576      0.6658      0.6798
 X_POSIX       0  write      103       108003328         1048576      0.6798      0.6938
 X_POSIX       0  write      104       109051904         1048576      0.6938      0.7078
 X_POSIX       0  write      105       110100480         1048576      0.7078      0.7220
 X_POSIX       0  write      106       111149056         1048576      0.7220      0.7348
 X_POSIX       0  write      107       112197632         1048576      0.7348      0.7478
 X_POSIX       0  write      108       113246208         1048576      0.7478      0.7620
 X_POSIX       0  write      109       114294784         1048576      0.7620      0.7738
 X_POSIX       0  write      110       115343360         1048576      0.7738      0.7868
 X_POSIX       0  write      111       116391936         1048576      0.7868      0.8008
 X_POSIX       0  write      112       117440512         1048576      0.8008      0.8118
 X_POSIX       0  write      113       118489088         1048576      0.8118      0.8238
 X_POSIX       0  write      114       119537664         1048576      0.8238      0.8369
 X_POSIX       0  write      115       120586240         1048576      0.8369      0.8468
 X_POSIX       0  write      116       121634816         1048576      0.8468      0.8577
 X_POSIX       0  write      117       122683392         1048576      0.8578      0.8698
 X_POSIX       0  write      118       123731968         1048576      0.8698      0.8828
 X_POSIX       0  write      119       124780544         1048576      0.8828      0.8928
 X_POSIX       0  write      120       125829120         1048576      0.8928      0.9048
 X_POSIX       0  write      121       126877696         1048576      0.9048      0.9167
 X_POSIX       0  write      122       127926272         1048576      0.9167      0.9298
 X_POSIX       0  write      123       128974848         1048576      0.9298      0.9398
 X_POSIX       0  write      124       130023424         1048576      0.9398      0.9508
 X_POSIX       0  write      125       131072000         1048576      0.9508      0.9627
 X_POSIX       0  write      126       132120576         1048576      0.9628      0.9758
 X_POSIX       0  write      127       133169152         1048576      0.9758      0.9894
 X_POSIX       0  write      128       134217728         1048576      0.9894      0.9969
 X_POSIX       0  write      129       135266304         1048576      0.9969      1.0088
 X_POSIX       0  write      130       136314880         1048576      1.0088      1.0218
 X_POSIX       0  write      131       137363456         1048576      1.0218      1.0318
 X_POSIX       0  write      132       138412032         1048576      1.0318      1.0428
 X_POSIX       0  write      133       139460608         1048576      1.0428      1.0548
 X_POSIX       0  write      134       140509184         1048576      1.0548      1.0678
 X_POSIX       0  write      135       141557760         1048576      1.0678      1.0778
 X_POSIX       0  write      136       142606336         1048576      1.0778      1.0898
 X_POSIX       0  write      137       143654912         1048576      1.0898      1.1018
 X_POSIX       0  write      138       144703488         1048576      1.1018      1.1148
 X_POSIX       0  write      139       145752064         1048576      1.1148      1.1288
 X_POSIX       0  write      140       146800640         1048576      1.1288      1.1398
 X_POSIX       0  write      141       147849216         1048576      1.1398      1.1518
 X_POSIX       0  write      142       148897792         1048576      1.1518      1.1648
 X_POSIX       0  write      143       149946368         1048576      1.1648      1.1788
 X_POSIX       0  write      144       150994944         1048576      1.1788      1.1897
 X_POSIX       0  write      145       152043520         1048576      1.1897      1.2018
 X_POSIX       0  write      146       153092096         1048576      1.2018      1.2159
 X_POSIX       0  write      147       154140672         1048576      1.2159      1.2287
 X_POSIX       0  write      148       155189248         1048576      1.2288      1.2400
 X_POSIX       0  write      149       156237824         1048576      1.2400      1.2518
 X_POSIX       0  write      150       157286400         1048576      1.2518      1.2648
 X_POSIX       0  write      151       158334976         1048576      1.2648      1.2788
 X_POSIX       0  write      152       159383552         1048576      1.2788      1.2898
 X_POSIX       0  write      153       160432128         1048576      1.2898      1.3018
 X_POSIX       0  write      154       161480704         1048576      1.3018      1.3148
 X_POSIX       0  write      155       162529280         1048576      1.3148      1.3288
 X_POSIX       0  write      156       163577856         1048576      1.3288      1.3404
 X_POSIX       0  write      157       164626432         1048576      1.3404      1.3517
