# darshan log version: 3.41
# compression method: ZLIB
# exe: /mnt/IOLustre/io500/io500 Trace_Dataset/ior-easy/ior-easy_api_POSIX_blockSize_1073741824_transferSize_1M_filePerProc_False_uniqueDir_True_.ini --timestamp 2024.01.10-22.43.46
# uid: 0
# jobid: 1134332
# start_time: 1704944627
# start_time_asci: Wed Jan 10 22:43:47 2024
# end_time: 1704944641
# end_time_asci: Wed Jan 10 22:44:01 2024
# nprocs: 1
# run time: 14.1699
# metadata: lib_ver = 3.4.2
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 362 bytes (compressed)
# record table: 203 bytes (compressed)
# POSIX module: 195 bytes (compressed), ver=4
# LUSTRE module: 0 bytes (compressed), ver=1
# STDIO module: 0 bytes (compressed), ver=2
# DXT_POSIX module: 18850 bytes (compressed), ver=1
# HEATMAP module: 0 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/mnt/IOLustre	lustre
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/boot/efi	vfat
# mount entry:	/client	ext4
# mount entry:	/home	ext4
# mount entry:	/boot	ext4
# mount entry:	/dev	devtmpfs
# mount entry:	/var	ext4
# mount entry:	/	ext4

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 8334402757700283061, file_name: /mnt/IOLustre/io500/datafiles/2024.01.10-22.43.46/ior-easy/ior_file_easy
# DXT, rank: 0, hostname: lab3
# DXT, write_count: 1024, read_count: 1024, open_count: 0, stat_count: 0
# DXT, mnt_pt: /mnt/IOLustre, fs_type: lustre
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0         1048576      0.2830      0.2849
 X_POSIX       0  write        1         1048576         1048576      0.2849      0.2865
 X_POSIX       0  write        2         2097152         1048576      0.2865      0.2880
 X_POSIX       0  write        3         3145728         1048576      0.2880      0.2896
 X_POSIX       0  write        4         4194304         1048576      0.2896      0.2913
 X_POSIX       0  write        5         5242880         1048576      0.2913      0.2929
 X_POSIX       0  write        6         6291456         1048576      0.2930      0.2946
 X_POSIX       0  write        7         7340032         1048576      0.2946      0.2970
 X_POSIX       0  write        8         8388608         1048576      0.2970      0.2985
 X_POSIX       0  write        9         9437184         1048576      0.2985      0.2998
 X_POSIX       0  write       10        10485760         1048576      0.2998      0.3011
 X_POSIX       0  write       11        11534336         1048576      0.3011      0.3024
 X_POSIX       0  write       12        12582912         1048576      0.3024      0.3039
 X_POSIX       0  write       13        13631488         1048576      0.3039      0.3049
 X_POSIX       0  write       14        14680064         1048576      0.3049      0.3058
 X_POSIX       0  write       15        15728640         1048576      0.3058      0.3067
 X_POSIX       0  write       16        16777216         1048576      0.3067      0.3079
 X_POSIX       0  write       17        17825792         1048576      0.3079      0.3089
 X_POSIX       0  write       18        18874368         1048576      0.3089      0.3098
 X_POSIX       0  write       19        19922944         1048576      0.3098      0.3108
 X_POSIX       0  write       20        20971520         1048576      0.3108      0.3120
 X_POSIX       0  write       21        22020096         1048576      0.3120      0.3130
 X_POSIX       0  write       22        23068672         1048576      0.3130      0.3139
 X_POSIX       0  write       23        24117248         1048576      0.3139      0.3148
 X_POSIX       0  write       24        25165824         1048576      0.3148      0.3159
 X_POSIX       0  write       25        26214400         1048576      0.3159      0.3169
 X_POSIX       0  write       26        27262976         1048576      0.3169      0.3178
 X_POSIX       0  write       27        28311552         1048576      0.3178      0.3187
 X_POSIX       0  write       28        29360128         1048576      0.3187      0.3198
 X_POSIX       0  write       29        30408704         1048576      0.3198      0.3207
 X_POSIX       0  write       30        31457280         1048576      0.3207      0.3216
 X_POSIX       0  write       31        32505856         1048576      0.3216      0.3224
 X_POSIX       0  write       32        33554432         1048576      0.3224      0.3235
 X_POSIX       0  write       33        34603008         1048576      0.3235      0.3245
 X_POSIX       0  write       34        35651584         1048576      0.3245      0.3253
 X_POSIX       0  write       35        36700160         1048576      0.3253      0.3263
 X_POSIX       0  write       36        37748736         1048576      0.3263      0.3273
 X_POSIX       0  write       37        38797312         1048576      0.3273      0.3282
 X_POSIX       0  write       38        39845888         1048576      0.3282      0.3291
 X_POSIX       0  write       39        40894464         1048576      0.3291      0.3299
 X_POSIX       0  write       40        41943040         1048576      0.3299      0.3308
 X_POSIX       0  write       41        42991616         1048576      0.3308      0.3317
 X_POSIX       0  write       42        44040192         1048576      0.3317      0.3326
 X_POSIX       0  write       43        45088768         1048576      0.3326      0.3335
 X_POSIX       0  write       44        46137344         1048576      0.3335      0.3343
 X_POSIX       0  write       45        47185920         1048576      0.3343      0.3352
 X_POSIX       0  write       46        48234496         1048576      0.3352      0.3360
 X_POSIX       0  write       47        49283072         1048576      0.3360      0.3369
 X_POSIX       0  write       48        50331648         1048576      0.3369      0.3377
 X_POSIX       0  write       49        51380224         1048576      0.3378      0.3386
 X_POSIX       0  write       50        52428800         1048576      0.3386      0.3394
 X_POSIX       0  write       51        53477376         1048576      0.3394      0.3403
 X_POSIX       0  write       52        54525952         1048576      0.3403      0.3413
 X_POSIX       0  write       53        55574528         1048576      0.3413      0.3422
 X_POSIX       0  write       54        56623104         1048576      0.3422      0.3430
 X_POSIX       0  write       55        57671680         1048576      0.3430      0.3439
 X_POSIX       0  write       56        58720256         1048576      0.3439      0.3447
 X_POSIX       0  write       57        59768832         1048576      0.3447      0.3456
 X_POSIX       0  write       58        60817408         1048576      0.3456      0.3465
 X_POSIX       0  write       59        61865984         1048576      0.3465      0.3473
 X_POSIX       0  write       60        62914560         1048576      0.3473      0.3482
 X_POSIX       0  write       61        63963136         1048576      0.3482      0.3490
 X_POSIX       0  write       62        65011712         1048576      0.3490      0.3498
 X_POSIX       0  write       63        66060288         1048576      0.3498      0.3506
 X_POSIX       0  write       64        67108864         1048576      0.3506      0.3514
 X_POSIX       0  write       65        68157440         1048576      0.3514      0.3522
 X_POSIX       0  write       66        69206016         1048576      0.3522      0.3530
 X_POSIX       0  write       67        70254592         1048576      0.3530      0.3539
 X_POSIX       0  write       68        71303168         1048576      0.3539      0.3547
 X_POSIX       0  write       69        72351744         1048576      0.3547      0.3555
 X_POSIX       0  write       70        73400320         1048576      0.3555      0.3563
 X_POSIX       0  write       71        74448896         1048576      0.3564      0.3572
 X_POSIX       0  write       72        75497472         1048576      0.3572      0.3639
 X_POSIX       0  write       73        76546048         1048576      0.3639      0.3726
 X_POSIX       0  write       74        77594624         1048576      0.3726      0.3823
 X_POSIX       0  write       75        78643200         1048576      0.3823      0.3938
 X_POSIX       0  write       76        79691776         1048576      0.3938      0.4018
 X_POSIX       0  write       77        80740352         1048576      0.4018      0.4100
 X_POSIX       0  write       78        81788928         1048576      0.4101      0.4200
 X_POSIX       0  write       79        82837504         1048576      0.4200      0.4310
 X_POSIX       0  write       80        83886080         1048576      0.4310      0.4381
 X_POSIX       0  write       81        84934656         1048576      0.4381      0.4461
 X_POSIX       0  write       82        85983232         1048576      0.4461      0.4550
 X_POSIX       0  write       83        87031808         1048576      0.4550      0.4660
 X_POSIX       0  write       84        88080384         1048576      0.4660      0.4772
 X_POSIX       0  write       85        89128960         1048576      0.4772      0.4861
 X_POSIX       0  write       86        90177536         1048576      0.4861      0.4961
 X_POSIX       0  write       87        91226112         1048576      0.4961      0.5070
 X_POSIX       0  write       88        92274688         1048576      0.5070      0.5203
 X_POSIX       0  write       89        93323264         1048576      0.5204      0.5280
 X_POSIX       0  write       90        94371840         1048576      0.5280      0.5381
 X_POSIX       0  write       91        95420416         1048576      0.5381      0.5491
 X_POSIX       0  write       92        96468992         1048576      0.5491      0.5610
 X_POSIX       0  write       93        97517568         1048576      0.5610      0.5750
 X_POSIX       0  write       94        98566144         1048576      0.5750      0.5838
 X_POSIX       0  write       95        99614720         1048576      0.5838      0.5951
 X_POSIX       0  write       96       100663296         1048576      0.5951      0.6071
 X_POSIX       0  write       97       101711872         1048576      0.6071      0.6211
 X_POSIX       0  write       98       102760448         1048576      0.6211      0.6331
 X_POSIX       0  write       99       103809024         1048576      0.6331      0.6471
 X_POSIX       0  write      100       104857600         1048576      0.6471      0.6611
 X_POSIX       0  write      101       105906176         1048576      0.6611      0.6760
 X_POSIX       0  write      102       106954752         1048576      0.6761      0.6891
 X_POSIX       0  write      103       108003328         1048576      0.6891      0.7030
